Day,Type,Exercise,Sets,Reps,Rest,Notes,Suggested Weight,Demo Type,Demo URL,Demo Poster
Monday (Squat + Push),Princeton MWF,Band External Rotation,2,12 per side,45,Warmup. Elbow tucked. Light band. Pain-free.,,youtube,https://www.youtube.com/results?search_query=banded+external+rotation+exercise+form,
Monday (Squat + Push),Princeton MWF,Leg Press,5,"6-8",180,Main squat. Last 2-3 hard. 1-2 in the tank.,,youtube,https://www.youtube.com/results?search_query=leg+press+exercise+form,
Monday (Squat + Push),Princeton MWF,Neutral Grip Dumbbell Bench Press,4,"6-8",150,Per dumbbell. Neutral grip. Swap: machine chest press or floor press.,,youtube,https://www.youtube.com/results?search_query=neutral+grip+dumbbell+bench+press+exercise+form,
Monday (Squat + Push),Princeton MWF,Seated Cable Row,4,"6-8",120,The row for this day. Do not hike the left shoulder.,,youtube,https://www.youtube.com/results?search_query=seated+cable+row+exercise+form,
Monday (Squat + Push),Princeton MWF,Triceps Pushdown,3,"8-10",75,Elbows pinned. Shoulder stays still.,,youtube,https://www.youtube.com/results?search_query=triceps+cable+pushdown+exercise+form,
Wednesday (Hinge + Pull),Princeton MWF,Band External Rotation,2,12 per side,45,Warmup. Same as Monday.,,youtube,https://www.youtube.com/results?search_query=banded+external+rotation+exercise+form,
Wednesday (Hinge + Pull),Princeton MWF,Barbell Hip Thrust,5,"6-8",180,This is the hinge. Not RDL. Last 2-3 hard.,,youtube,https://www.youtube.com/results?search_query=barbell+hip+thrust+exercise+form,
Wednesday (Hinge + Pull),Princeton MWF,Chest Supported Dumbbell Row,4,"6-8",120,The row for this day. Chest on pad.,,youtube,https://www.youtube.com/results?search_query=chest+supported+dumbbell+row+exercise+form,
Wednesday (Hinge + Pull),Princeton MWF,Neutral Grip Lat Pulldown,4,"6-8",120,Swap: assisted pull-up same grip. No kipping.,,youtube,https://www.youtube.com/results?search_query=neutral+grip+lat+pulldown+exercise+form,
Wednesday (Hinge + Pull),Princeton MWF,Face Pull,3,"12-15",60,Only face-pull day. Slow. No shrugging.,,youtube,https://www.youtube.com/results?search_query=face+pull+exercise+form,
Friday (Single Leg + Mixed Upper),Princeton MWF,Band External Rotation,2,12 per side,45,Warmup.,,youtube,https://www.youtube.com/results?search_query=banded+external+rotation+exercise+form,
Friday (Single Leg + Mixed Upper),Princeton MWF,Hack Squat,5,"6-8",180,Swap: belt squat or another leg-press pattern.,,youtube,https://www.youtube.com/results?search_query=hack+squat+exercise+form,
Friday (Single Leg + Mixed Upper),Princeton MWF,Landmine Press,4,"6-8",120,"Neutral-ish path. Swap: machine press if quiet, extra row if cuff is loud.",,youtube,https://www.youtube.com/results?search_query=landmine+press+exercise+form,
Friday (Single Leg + Mixed Upper),Princeton MWF,Reverse Lunge,3,6 per leg,120,The single-leg. Not Bulgarian. Swap: more hack or leg press if ankles complain.,,youtube,https://www.youtube.com/results?search_query=reverse+lunge+exercise+form,
Friday (Single Leg + Mixed Upper),Princeton MWF,Farmer Carry,3,40s,75,"Tall. Do not shrug. Hard walk, not a stroll.",,youtube,https://www.youtube.com/results?search_query=farmer+carry+exercise+form,
